0	984445944
1	1524298814
2	905701793
3	1921034168
4	1237175230
5	187583188
6	1223043887
7	876411269
8	302167476
9	693248494
10	1819180188
11	966936986
12	1802892232
13	1916415478
14	244019012
15	14771722
16	1928878936
17	589857889
18	1130970392
19	1962693967
20	713165933
21	19541522
22	936102404
23	1324520137
24	1793206205
25	1004085405
26	1702771723
27	1434332448
28	2105823850
29	1301399529
30	2488186
31	1392526419
-1
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 -1
