0	2105823850
1	1524298814
2	905701793
3	984445944
4	1237175230
5	187583188
6	1223043887
7	876411269
8	302167476
9	693248494
10	1004085405
11	966936986
12	1802892232
13	1916415478
14	244019012
15	1819180188
16	14771722
17	1928878936
18	589857889
19	1962693967
20	713165933
21	936102404
22	19541522
23	1130970392
24	1324520137
25	1793206205
26	1702771723
27	1434332448
28	1921034168
29	1301399529
30	2488186
31	1392526419
-1
16 17 19 22 26 31 5 12 20 29 7 18 30 11 25 8 24 9 27 14 2 23 13 4 28 21 15 10 6 3 1 0 -1
